Date,Demographic Group,People with at least one dose,People who are fully vaccinated,Percent of group with at least one dose,Percent of group fully vaccinated,Census
2021-05-19,Sex_unknown,1641644,1106170,0,0,0
2021-05-18,Sex_unknown,1636646,1099659,0,0,0
2021-05-17,Sex_unknown,1634476,1096273,0,0,0
2021-05-16,Sex_unknown,1630372,1090060,0,0,0
2021-05-15,Sex_unknown,1624025,1081310,0,0,0
2021-05-14,Sex_unknown,1617176,1070763,0,0,0
2021-05-13,Sex_unknown,1611754,1062102,0,0,0
2021-05-12,Sex_unknown,1604451,1050790,0,0,0
2021-05-11,Sex_unknown,1599547,1042548,0,0,0
2021-05-10,Sex_unknown,1596879,1038344,0,0,0
2021-05-09,Sex_unknown,1594018,1030779,0,0,0
2021-05-08,Sex_unknown,1586710,1020617,0,0,0
2021-05-07,Sex_unknown,1579777,1007320,0,0,0
2021-05-06,Sex_unknown,1572375,994370,0,0,0
2021-05-05,Sex_unknown,1561129,983059,0,0,0
2021-05-04,Sex_unknown,1555735,974308,0,0,0
2021-05-03,Sex_unknown,1552869,969715,0,0,0
2021-05-02,Sex_unknown,1548883,964325,0,0,0
2021-05-01,Sex_unknown,1539776,952690,0,0,0
2021-04-30,Sex_unknown,1528127,936620,0,0,0
2021-04-29,Sex_unknown,1518253,922510,0,0,0
2021-04-28,Sex_unknown,1508684,909578,0,0,0
2021-04-27,Sex_unknown,1501018,900678,0,0,0
2021-04-26,Sex_unknown,1496588,896832,0,0,0
2021-04-25,Sex_unknown,1488181,889669,0,0,0
2021-04-24,Sex_unknown,1477655,878748,0,0,0
2021-04-23,Sex_unknown,1464980,865817,0,0,0
2021-04-22,Sex_unknown,1450233,851748,0,0,0
2021-04-21,Sex_unknown,1439892,840970,0,0,0
2021-04-20,Sex_unknown,1428223,831521,0,0,0
2021-04-19,Sex_unknown,1421552,826285,0,0,0
2021-04-18,Sex_unknown,1411876,818861,0,0,0
2021-04-17,Sex_unknown,1396723,804975,0,0,0
2021-04-16,Sex_unknown,1381426,790710,0,0,0
2021-04-15,Sex_unknown,1365713,777173,0,0,0
2021-04-14,Sex_unknown,1351064,765045,0,0,0
2021-04-13,Sex_unknown,1335737,751542,0,0,0
2021-04-12,Sex_unknown,1322898,740134,0,0,0
2021-04-11,Sex_unknown,1309414,728161,0,0,0
2021-04-10,Sex_unknown,1291880,712815,0,0,0
2021-04-09,Sex_unknown,1262524,692490,0,0,0
2021-04-08,Sex_unknown,1241797,677328,0,0,0
2021-04-07,Sex_unknown,1226909,665972,0,0,0
2021-04-06,Sex_unknown,1212942,654533,0,0,0
2021-04-05,Sex_unknown,1182600,630080,0,0,0
2021-04-04,Sex_unknown,1182371,629916,0,0,0
2021-04-03,Sex_unknown,1181519,628669,0,0,0
2021-04-02,Sex_unknown,1160531,615661,0,0,0
2021-04-01,Sex_unknown,1134808,601582,0,0,0
2021-03-31,Sex_unknown,1117751,592246,0,0,0
2021-03-30,Sex_unknown,1103682,582556,0,0,0
2021-03-29,Sex_unknown,1097425,577593,0,0,0
2021-03-28,Sex_unknown,1086914,570739,0,0,0
2021-03-27,Sex_unknown,1069695,559185,0,0,0
2021-03-26,Sex_unknown,1048939,548748,0,0,0
2021-03-25,Sex_unknown,1026687,538715,0,0,0
2021-03-24,Sex_unknown,1012430,531896,0,0,0
2021-03-23,Sex_unknown,998807,526003,0,0,0
2021-03-22,Sex_unknown,982871,520447,0,0,0
